,Id,Inactive,Calories,Distance,Avg_speed,Max_speed,Min_speed,Step_count,Weight,Height,Move_m_count,Walk,bmi,bmi_cdn
192,U007,75623285,1511.084562,13072.14207,0.816590865,18.9033947,0.160229042,6587,50,160.5,103,Good,19.53125,Normal
193,U007,71387756,1556.287737,14329.69976,0.779576468,14.08966541,0.19930011,9368,50,160.5,134,Good,19.53125,Normal
194,U007,73734253,1530.59652,4991.6473,0.569346394,1.76199007,0.250470102,8788,50,160.5,104,Below Normal,19.53125,Normal
195,U007,77778097,1496.971801,11612.13646,1.194971585,16.41493797,0.249381199,6516,50,160.5,98,Good,19.53125,Normal
196,U007,74224771,1507.923634,8740.478039,0.724418104,8.484917641,0.260103583,8218,50,160.5,107,Normal,19.53125,Normal
197,U007,77303313,1516.966611,17387.4918,1.48498086,31.72762489,0.269737035,5114,50,160.5,105,Good,19.53125,Normal
198,U007,83216212,1271.999985,11.91321546,0.550139352,1.7289389,0.260103583,168,50,160.5,,Ver Low,19.53125,Normal
199,U007,76771329,1405.43939,3152.081163,0.699385307,1.3925488,0.267819852,5349,50,160.5,56,Below Normal,19.53125,Normal
200,U007,75961373,1486.156712,13144.52255,0.724445445,10.79964161,0.206272766,5789,50,160.5,100,Good,19.53125,Normal
201,U007,78160476,1352.02808,2151.799602,0.813224273,12.68657017,0.26128158,3767,50,160.5,37,Ver Low,19.53125,Normal
202,U007,74237286,1397.629787,3364.784518,0.635548737,1.409774065,0.250470102,6042,50,160.5,67,Below Normal,19.53125,Normal
203,U007,77202139,1369.710186,2750.390385,0.47103973,1.460952282,0.250470102,4972,50,160.5,58,Ver Low,19.53125,Normal
204,U007,78018399,1432.299998,2886.5523,0.464242385,1.114664555,0.250470102,5725,50,160.5,64,Ver Low,19.53125,Normal
205,U007,12280855,180.8014634,2490.926869,0.550139352,1.64214,0.260103583,5,50,160.5,5,Ver Low,19.53125,Normal
206,U008,131819,10.903642,216.46611,0.259074032,3.1177893,0.419185219,242,58,170,5,Ver Low,20.06920415,Normal
207,U008,131813,10.903642,216.46611,0.259074032,1.6910666,0.729706343,242,58,170,33,Ver Low,20.06920415,Normal
208,U008,555218,47.44924,938.9122,0.07797309,4.408994,0.515064138,1022,58,170,33,Ver Low,20.06920415,Normal
